Index,Sum of Round Trip Mileage (km),Sum of Round Trip CO2 emission (kgCo2e)
1,6.437376,0
2,6.437376,0
3,128.74752,21.454486732800003
4,1.9312128,0
5,19.312128,3.2181730099200005
6,80.4672,13.409054208000002
7,25.749504,4.29089734656
8,0,0
9,6.437376,0
10,12.874752,2.14544867328
11,6.437376,0
12,115.87276800000001,19.309038059520002
13,6.1155072,0
14,16.09344,2.6818108416000004
15,3.218688,0
16,16.09344,0
17,4.5061632,0
18,6.437376,0
19,5.149900800000001,0.5260623667200002
20,6.437376,0
21,35.405568,0
22,48.28032,8.0454325248
23,35.405568,5.899983851520001
24,6.437376,0
25,35.405568,5.899983851520001
26,64.37376,10.727243366400002
27,4.828032,0
28,6.437376,0
29,2.4,0
30,8.04672,0.8219724480000001
31,3.5405568000000005,0
32,1.9312128,0
33,38.624256,1.3696161177600001
34,4.184294400000001,0
35,10.9435392,0
36,3.218688,0
37,45.061632,7.5090703564800005
38,6.437376,0
39,6.437376,0
40,20.921472,0
41,28.968192000000002,4.827259514880001
42,6.437376,0
43,5.4717696,0
44,5.4717696,0
45,0,0
46,3.218688,0
47,6.437376,0
48,54.717696000000004,9.118156861440001
49,9.0123264,0
50,8.690457600000002,0
51,7.4029824,0
52,8.690457600000002,0
53,1.9312128,0
54,115.87276800000001,4.10884835328
55,12.874752,1.3151559168000002
56,35.083699200000005,1.2440679736320002
57,6.437376,0
58,0,0
59,37.014912,6.168164935680001
60,4.828032,0
61,9.656064,0
62,3.8624256,0.39454677504
63,54.717696000000004,9.118156861440001
64,41.842944,6.972708188160001
65,1.609344,0
66,48.28032,1.7120201472
68,11.265408,0
69,64.37376,10.727243366400002
70,54.717696000000004,9.118156861440001
71,9.656064,0
72,2.5749504000000005,0
73,14.484096000000001,2.4136297574400003
74,41.842944,6.972708188160001
75,22.530816,2.3015228544000004
76,4.184294400000001,0
77,7.7248512,0
78,32.18688,0
79,23.4964224,3.915443828736
80,6.437376,0
81,3.218688,0
82,42.80855040000001,7.1336168386560015
83,4.828032,0
84,64.37376,10.727243366400002
85,8.04672,0.8219724480000001
86,57.936384000000004,9.654519029760001
87,6.437376,0
88,4.828032,0
89,25.749504,0
90,56.327040000000004,9.386337945600001
91,51.499008,8.58179469312
92,109.43539200000001,18.236313722880002
93,6.437376,0
94,6.437376,0
95,25.1057664,2.5645540377600002
97,19.312128,0
98,22.530816,0
99,6.437376,0
100,6.437376,0
101,97.2043776,3.4468672296959997
102,20.921472,3.4863540940800006
103,32.18688,1.6952829696000002
104,128.74752,4.5653870592
105,64.37376,3.3905659392000005
106,6.437376,0.22826935296
107,38.624256,0
108,8.690457600000002,1.4481778544640005
109,9.656064,0.9863669376000002
110,70.811136,11.799967703040002
111,16.09344,2.6818108416000004
112,23.818291200000004,2.4330384460800007
113,12.874752,2.14544867328
114,3.5405568000000005,0
115,8.04672,0
116,28.968192000000002,4.827259514880001
117,4.828032,0
118,0,0
120,5.793638400000001,0
121,14.484096000000001,2.4136297574400003
122,3.218688,0
123,3.218688,0
124,51.499008,1.82615482368
125,2.2530816,0
126,64.37376,2.2826935296
127,1.609344,0
128,6.437376,0
129,3.218688,0
130,8.04672,0
131,0,0
132,4.828032,0
133,12.874752,0
134,11.587276800000001,0
135,45.061632,7.5090703564800005
136,38.624256,1.3696161177600001
137,56.327040000000004,9.386337945600001
138,6.437376,0
139,16.09344,0.5706733824
140,25.749504,0.91307741184
141,9.656064,0
142,12.874752,0
143,25.749504,4.29089734656
144,12.874752,0
145,48.28032,4.931834688
146,4.828032,0
147,38.624256,6.436346019840001
148,6.437376,0
149,70.811136,11.799967703040002
150,6.437376,0
151,12.874752,2.14544867328
152,3.218688,0
153,42.4866816,0
154,3.218688,0
155,9.656064,0
156,13.518489600000002,0
157,6.437376,0
158,5.4717696,0
160,12.874752,1.3151559168000002
161,8.04672,0.2853366912
162,48.28032,8.0454325248
163,8.04672,0
164,38.624256,6.436346019840001
165,12.874752,0
166,135.184896,22.527211069440003
167,80.4672,13.409054208000002
168,0,0
169,14.8059648,2.4672659742720002
171,4.184294400000001,0
172,3.218688,0
173,9.656064,1.6090865049600003
174,80.4672,13.409054208000002
175,22.530816,0
176,38.624256,6.436346019840001
177,6.437376,0
178,51.499008,8.58179469312
179,8.04672,0.8219724480000001
180,64.37376,6.575779584000001
181,54.717696000000004,1.94028950016
182,41.842944,6.972708188160001
183,3.5405568000000005,0
184,2.5749504000000005,0
185,41.842944,6.972708188160001
186,64.37376,10.727243366400002
187,1.609344,0
188,3.218688,0
189,48.28032,8.0454325248
190,4.828032,0
191,4.184294400000001,0
192,6.437376,0
193,77.248512,2.7392322355200003
194,15.771571200000002,2.6281746247680005
195,6.437376,1.07272433664
196,11.265408,0
197,80.4672,13.409054208000002
198,9.656064,0
199,4.828032,0.4931834688000001
200,5.149900800000001,0
201,35.405568,5.899983851520001
202,12.874752,2.14544867328
203,9.656064,1.6090865049600003
204,3.8624256,0.643634601984
205,25.749504,4.29089734656
206,80.4672,13.409054208000002
207,8.04672,1.3409054208000002
208,80.4672,2.8533669120000003
209,12.874752,2.14544867328
210,6.437376,0
211,115.87276800000001,19.309038059520002
212,6.437376,0
213,8.04672,0
214,0,0
215,7.081113600000001,0
216,9.656064,0
217,289.68192,48.2725951488
218,8.04672,0.9146706624000001
219,54.717696000000004,2.88198104832
220,9.656064,0
