"Index","Mileage","Emission"
3,128.74752,21.4544867328
12,115.872768,19.30903805952
92,109.435392,18.23631372288
166,135.184896,22.52721106944
211,115.872768,19.30903805952
217,289.68192,48.2725951488
247,148.059648,24.67265974272
248,128.74752,21.4544867328
312,643.7376,22.826935296
315,135.184896,22.52721106944
330,804.672,28.53366912
334,144.84096,24.1362975744
351,119.091456,19.84540022784
368,160.9344,26.818108416
372,144.84096,24.1362975744
399,119.091456,19.84540022784
428,96.56064,16.0908650496
444,128.74752,21.4544867328
457,131.966208,21.99084890112
489,112.65408,18.7726758912
510,244.620288,40.76352479232
515,99.779328,16.62722721792
525,112.65408,18.7726758912
541,96.56064,16.0908650496
557,263.932416,43.98169780224
594,103.9636224,17.324498036736
596,215.652096,35.93626527744
604,128.74752,21.4544867328
620,102.998016,17.16358938624
627,102.998016,17.16358938624
638,193.12128,32.1817300992
654,102.998016,17.16358938624
662,160.9344,26.818108416
674,160.9344,26.818108416
682,177.02784,29.4999192576
694,202.777344,33.79081660416
713,112.65408,18.7726758912
731,144.84096,24.1362975744
742,160.9344,26.818108416
753,115.872768,19.30903805952
755,117.1602432,19.523582926848
757,144.84096,24.1362975744
759,122.310144,20.38176239616
767,96.56064,16.0908650496
768,96.56064,16.0908650496
811,144.84096,24.1362975744
896,482.8032,17.120201472
906,540.739584,19.17462564864
922,247.838976,41.29988696064
936,96.56064,16.0908650496
943,202.777344,33.79081660416
950,102.998016,17.16358938624
951,386.24256,64.3634601984
961,273.58848,45.5907843072
962,679.143168,24.08241673728
978,482.8032,17.120201472
988,482.8032,17.120201472
991,1657.62432,451.8352371456
994,804.672,28.53366912
996,514.99008,18.2615482368
1003,334.743552,55.78166550528
1014,96.56064,16.0908650496
1029,482.8032,17.120201472
1037,321.8688,53.636216832
1038,141.622272,23.59993540608
1062,141.622272,23.59993540608
1126,482.8032,17.120201472
1147,112.65408,18.7726758912
1158,96.56064,16.0908650496
1159,174.1310208,29.017193306112
1180,112.65408,18.7726758912
1194,160.9344,26.818108416
1196,241.4016,40.227162624
1199,337.96224,56.3180276736
1207,96.56064,16.0908650496
1210,138.403584,23.06357323776
1243,148.059648,24.67265974272
1247,157.715712,26.28174624768
1268,128.74752,21.4544867328
1277,96.56064,16.0908650496
1288,144.84096,24.1362975744
1291,96.56064,16.0908650496
1299,112.65408,18.7726758912
1327,321.8688,53.636216832
1331,96.56064,16.0908650496
1363,96.56064,16.0908650496
1382,135.184896,22.52721106944
1419,160.9344,26.818108416
1426,251.057664,41.83624912896
1428,164.153088,27.35447058432
1457,215.652096,35.93626527744
1463,96.56064,16.0908650496
1535,96.56064,16.0908650496
1553,315.431424,52.56349249536
1584,225.30816,37.5453517824
1637,99.779328,16.62722721792
1657,772.48512,128.7269203968
1661,96.56064,16.0908650496
1668,225.30816,37.5453517824
1678,183.465216,30.57264359424
1680,154.497024,25.74538407936
1681,106.216704,17.69995155456
1683,112.65408,18.7726758912
1696,151.278336,25.20902191104
1703,186.683904,31.10900576256
1704,157.715712,26.28174624768
1712,318.650112,53.09985466368
1716,112.65408,18.7726758912
1720,128.74752,21.4544867328
1723,96.56064,16.0908650496
1738,199.558656,33.25445443584
1750,241.4016,40.227162624
1754,122.310144,20.38176239616
1759,302.556672,50.41804382208
1786,106.216704,17.69995155456
1790,106.5385728,17.753587771392
1800,643.7376,22.826935296
1830,96.56064,16.0908650496
1831,154.497024,25.74538407936
